日期,股票代號,股票名稱,狀態,股數變化,今日股數,今日權重
2026-04-22,3264,欣銓,加碼,30000,4745000,0.52
2026-04-22,3324,雙鴻,加碼,1000,170000,0.1
2026-04-22,3376,新日興,加碼,1000,1561000,0.18
2026-04-22,3653,健策,加碼,30000,2198000,6.18
2026-04-22,3661,世芯-KY,加碼,8000,673000,1.42
2026-04-22,3665,貿聯-KY,加碼,120000,3812848,5.06
2026-04-22,3711,日月光投控,加碼,50000,7419000,1.79
2026-04-22,5347,世界,加碼,50000,61000,0.0
2026-04-22,5439,高技,加碼,35000,2791000,0.61
2026-04-22,6187,萬潤,加碼,5000,461000,0.33
2026-04-22,6191,精成科,加碼,1000,3865000,0.22
2026-04-22,6223,旺矽,加碼,22000,1720000,4.31
2026-04-22,6415,矽力*-KY,加碼,30000,660000,0.14
2026-04-22,6488,環球晶,加碼,1000,949000,0.3
2026-04-22,6515,穎崴,加碼,4000,357000,1.99
2026-04-22,6669,緯穎,加碼,129000,923000,2.09
2026-04-22,6805,富世達,加碼,50000,1646000,1.7
2026-04-22,7769,鴻勁,加碼,1000,95000,0.23
2026-04-22,8046,南電,加碼,120000,8972000,3.74
2026-04-22,8210,勤誠,加碼,13000,1019000,0.55
2026-04-23,1303,南亞,減碼,-6642000,1373000,0.06
2026-04-23,2303,聯電,加碼,948000,30837000,1.14
2026-04-23,2308,台達電,加碼,185000,6024000,5.97
2026-04-23,2317,鴻海,加碼,212000,6927000,0.78
2026-04-23,2330,台積電,加碼,895000,9113000,9.49
2026-04-23,2345,智邦,加碼,155000,5057000,5.27
2026-04-23,2383,台光電,加碼,223000,3904000,8.02
2026-04-23,2404,漢唐,加碼,33000,1091000,0.53
2026-04-23,2449,京元電子,加碼,323000,10503000,1.46
2026-04-23,2454,聯發科,加碼,101000,3295000,3.66
2026-04-23,3008,大立光,清倉,-15000,0,0.0
2026-04-23,3017,奇鋐,加碼,118000,3845000,5.16
2026-04-23,3189,景碩,加碼,90000,2952000,0.71
2026-04-23,3211,順達,減碼,-2964000,916000,0.18
2026-04-23,3264,欣銓,加碼,151000,4896000,0.48
2026-04-23,3583,辛耘,減碼,-470000,57000,0.03
2026-04-23,3653,健策,加碼,69000,2267000,6.03
2026-04-23,3661,世芯-KY,加碼,21000,694000,1.38
2026-04-23,3665,貿聯-KY,加碼,121000,3933848,5.43
2026-04-23,3711,日月光投控,加碼,235000,7654000,1.78
2026-04-23,4966,譜瑞-KY,新進,370000,370000,0.11
2026-04-23,4979,華星光,減碼,-1036000,1000,0.0
2026-04-23,5439,高技,加碼,89000,2880000,0.54
2026-04-23,6187,萬潤,清倉,-461000,0,0.0
2026-04-23,6191,精成科,加碼,120000,3985000,0.21
2026-04-23,6223,旺矽,加碼,54000,1774000,4.26
2026-04-23,6488,環球晶,減碼,-617000,332000,0.1
2026-04-23,6515,穎崴,加碼,11000,368000,1.98
2026-04-23,6669,緯穎,加碼,29000,952000,2.03
2026-04-23,6805,富世達,加碼,52000,1698000,1.62
2026-04-23,7769,鴻勁,加碼,2000,97000,0.23
2026-04-23,8046,南電,加碼,284000,9256000,3.69
2026-04-23,8210,勤誠,加碼,32000,1051000,0.58
2026-04-24,2330,台積電,加碼,1000,9114000,9.39
2026-04-24,2345,智邦,加碼,174000,5231000,5.28
2026-04-24,2368,金像電,加碼,359000,7748000,5.08
2026-04-24,2383,台光電,加碼,221000,4125000,8.7
2026-04-24,2454,聯發科,加碼,572000,3867000,4.44
2026-04-24,3017,奇鋐,加碼,57000,3902000,5.42
2026-04-24,3189,景碩,加碼,2086000,5038000,1.25
2026-04-24,3583,辛耘,清倉,-57000,0,0.0
2026-04-24,3665,貿聯-KY,加碼,164000,4097848,5.34
2026-04-24,6510,精測,加碼,94000,875000,1.5
2026-04-24,6669,緯穎,加碼,149000,1101000,2.41
2026-04-24,8046,南電,加碼,2625000,11881000,4.9
2026-04-27,1303,南亞,加碼,1000,1374000,0.05
2026-04-27,1319,東陽,加碼,1000,509000,0.02
2026-04-27,2002,中鋼,加碼,1000,5161000,0.04
2026-04-27,2303,聯電,加碼,1954000,32791000,1.03
2026-04-27,2313,華通,加碼,79000,843000,0.09
2026-04-27,2317,鴻海,加碼,3800000,10727000,1.05
2026-04-27,2327,國巨*,加碼,908000,15196000,2.0
2026-04-27,2330,台積電,加碼,579000,9693000,9.46
2026-04-27,2345,智邦,加碼,800000,6031000,5.65
2026-04-27,2357,華碩,加碼,1000,16000,0.0
2026-04-27,2368,金像電,加碼,492000,8240000,5.04
2026-04-27,2383,台光電,加碼,300000,4425000,9.02
2026-04-27,2439,美律,加碼,1000,16000,0.0
2026-04-27,2449,京元電子,加碼,669000,11172000,1.36
2026-04-27,2454,聯發科,加碼,280000,4147000,4.35
2026-04-27,2481,強茂,加碼,1000,3652000,0.16
2026-04-27,3189,景碩,加碼,320000,5358000,1.19
2026-04-27,3211,順達,減碼,-458000,458000,0.08
2026-04-27,3217,優群,加碼,50000,830000,0.06
2026-04-27,3264,欣銓,加碼,1000,4897000,0.41
2026-04-27,3324,雙鴻,清倉,-170000,0,0.0
2026-04-27,3376,新日興,加碼,120000,1681000,0.15
2026-04-27,3661,世芯-KY,加碼,44000,738000,1.32
2026-04-27,3665,貿聯-KY,加碼,280000,4377848,4.96
2026-04-27,3711,日月光投控,加碼,520000,8174000,1.74
2026-04-27,4966,譜瑞-KY,加碼,1000,371000,0.1
2026-04-27,5274,信驊,加碼,22000,373000,2.57
2026-04-27,5347,世界,加碼,1000,62000,0.0
2026-04-27,5439,高技,加碼,250000,3130000,0.5
2026-04-27,6191,精成科,加碼,1000,3986000,0.18
2026-04-27,6223,旺矽,加碼,112000,1886000,3.96
2026-04-27,6488,環球晶,加碼,1000,333000,0.09
2026-04-27,6510,精測,加碼,55000,930000,1.43
2026-04-27,6515,穎崴,加碼,23000,391000,1.61
2026-04-27,6669,緯穎,加碼,448000,1549000,3.26
2026-04-27,6805,富世達,加碼,401000,2099000,1.87
2026-04-27,7769,鴻勁,加碼,1000,98000,0.21
2026-04-27,8046,南電,加碼,756000,12637000,4.97
2026-04-27,8210,勤誠,加碼,66000,1117000,0.56
2026-04-28,1590,亞德客-KY,新進,500000,500000,0.3
2026-04-28,2303,聯電,加碼,7263000,40054000,1.28
2026-04-28,2313,華通,加碼,500000,1343000,0.14
2026-04-28,2327,國巨*,加碼,1758000,16954000,2.35
2026-04-28,2337,旺宏,新進,2910000,2910000,0.2
2026-04-28,2449,京元電子,加碼,1547000,12719000,1.53
2026-04-28,2454,聯發科,加碼,216000,4363000,4.84
2026-04-28,3211,順達,清倉,-458000,0,0.0
2026-04-28,3711,日月光投控,加碼,1362000,9536000,2.0
2026-04-28,6488,環球晶,清倉,-333000,0,0.0
2026-04-28,6669,緯穎,加碼,86000,1635000,3.33
